error_type,fake_probability,actual_label,predicted_label,review_text,rating,is_recommended,word_count,product_name
FALSE_POSITIVE,0.7283297131826364,0,1,"I love my Kindle. I won't be without one. I've even bought an extra one, just in case. I believe it's the best tablet on the market.",5,True,27,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6306797584134274,0,1,I really didnt expect how its going to work.but its very good.gifted to my friend,4,True,15,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6545845583143018,0,1,Bought this as a gift for my mom and this was to replace her original Kindle Fire. She's have had a month now and is loving and no problems with it.,5,True,31,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6235130171614741,0,1,This was a request from our 7 yr old granddaugter who had always asked her older sister if she could share hers due to we bought this same tablet/size a few yrs earlier. Loved the security/parental control options.Starfall a favorite educational app were told is a must have. Really enjoy Pics/Viber due to their in a different state. Also some games on a time limit. Size and resolution are perfect.,5,True,70,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.770607094549004,0,1,"I originally purchased a Kindle paperwhite but returned it the next day and purchased this one. Very easy to read on, watch movies, and listen to music.",5,True,27,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.7310658530728671,0,1,Amazon MayDay functionality is not available and this was unexpected. Other services and functionality as expected,4,True,16,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5834781378121009,0,1,Perfect tablet to take anywhere you go and lighter than my IPad.,5,True,12,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5670957881099977,0,1,Easy to use tablet for every day use. Additional apps can help increase productivity for work and daily use.,5,True,19,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5382216716481606,0,1,"Bought this tablet for my fiancée daughter, after getting it home and set up, I decided to keep it for myself. Great screen and works great with my pair of Amazon echos. I love it and highly recommend it.",5,True,39,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5955748391852397,0,1,Bought as a gift for parents who aren't tech savy but were able to use it with ease,4,True,18,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6228074753105812,0,1,The fire is great. The size is really nice. Not to big. The clarity is really good.,5,True,17,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6867831237234935,0,1,This inexpensive tablet does everything I want it to do. I can read my books and magazines and keeps tabs on my kids and grandkids on Facebook. Very easy to use and crystal clear pictures and video.,5,True,37,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6579561613966696,0,1,This tablet is great. I loved the color and all the features it has. I will be buying more for my daughters. Great purchase,5,True,24,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6546975347850027,0,1,Excellent ratio quality price. Lightweight. Good resolution and easy to use.,5,True,11,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5025937820797824,0,1,Love everything about my Kindle. I'm a long-term Amazon Prime member.,5,True,11,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5209785900212208,0,1,I thought that this tablet was junk but it has surpassed my expectations,5,True,13,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6327200728349964,0,1,Good if you want something inexpensive and Will do the minimum very well.,4,True,13,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.6586563283891955,0,1,"Fine for reading, ...haven't used it for anything else yet",3,True,10,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
FALSE_POSITIVE,0.5058535696372329,0,1,"I have been using a Kindle Fire for a couple of years. It was a good tablet, until the screen went black. Best Buy replaced it and I couldn't have been more pleased. I enjoy reading on my Kindle Fire HD more than ever. Try it and you'll buy it!",5,True,50,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
