reviewer_id,community_id,community_size,network_degree,degree_centrality,community_size_score,centrality_score,extreme_cluster_bonus,network_suspicion_score
RID_4151840647,1,31,14,0.1728395061728395,50.0,6.461538461538461,20,76.46153846153845
RID_5122724677,2,24,13,0.16049382716049382,50.0,5.999999999999999,20,76.0
RID_2014177297,2,24,12,0.14814814814814814,50.0,5.538461538461538,20,75.53846153846155
RID_7787688669,0,27,12,0.14814814814814814,50.0,5.538461538461538,20,75.53846153846155
RID_8269460284,2,24,12,0.14814814814814814,50.0,5.538461538461538,20,75.53846153846155
RID_8292679078,0,27,12,0.14814814814814814,50.0,5.538461538461538,20,75.53846153846155
RID_2217604614,1,31,11,0.13580246913580246,50.0,5.076923076923077,20,75.07692307692308
RID_2381095598,1,31,11,0.13580246913580246,50.0,5.076923076923077,20,75.07692307692308
RID_6387105579,2,24,11,0.13580246913580246,50.0,5.076923076923077,20,75.07692307692308
RID_9940359686,2,24,11,0.13580246913580246,50.0,5.076923076923077,20,75.07692307692308
RID_5377441862,2,24,11,0.13580246913580246,50.0,5.076923076923077,20,75.07692307692308
RID_6218034326,1,31,10,0.12345679012345678,50.0,4.615384615384615,20,74.61538461538461
RID_9181053746,2,24,9,0.1111111111111111,50.0,4.153846153846153,20,74.15384615384616
RID_3107545945,2,24,9,0.1111111111111111,50.0,4.153846153846153,20,74.15384615384616
RID_4658848076,1,31,9,0.1111111111111111,50.0,4.153846153846153,20,74.15384615384616
RID_2006842814,1,31,9,0.1111111111111111,50.0,4.153846153846153,20,74.15384615384616
RID_2446385894,2,24,9,0.1111111111111111,50.0,4.153846153846153,20,74.15384615384616
RID_3503354763,0,27,8,0.09876543209876543,50.0,3.692307692307692,20,73.6923076923077
RID_8163724314,0,27,8,0.09876543209876543,50.0,3.692307692307692,20,73.6923076923077
RID_5673740321,2,24,7,0.08641975308641975,50.0,3.2307692307692304,20,73.23076923076923
RID_2370945716,0,27,7,0.08641975308641975,50.0,3.2307692307692304,20,73.23076923076923
RID_6863503663,1,31,7,0.08641975308641975,50.0,3.2307692307692304,20,73.23076923076923
RID_4658279749,0,27,6,0.07407407407407407,50.0,2.769230769230769,20,72.76923076923077
RID_5748617111,1,31,5,0.06172839506172839,50.0,2.3076923076923075,20,72.3076923076923
RID_8821377955,0,27,5,0.06172839506172839,50.0,2.3076923076923075,20,72.3076923076923
RID_1025317560,1,31,5,0.06172839506172839,50.0,2.3076923076923075,20,72.3076923076923
RID_4428109444,0,27,4,0.04938271604938271,50.0,1.846153846153846,20,71.84615384615384
RID_1356623570,0,27,4,0.04938271604938271,50.0,1.846153846153846,20,71.84615384615384
RID_7181427127,1,31,4,0.04938271604938271,50.0,1.846153846153846,20,71.84615384615384
RID_7070962645,0,27,4,0.04938271604938271,50.0,1.846153846153846,20,71.84615384615384
RID_5265234193,0,27,4,0.04938271604938271,50.0,1.846153846153846,20,71.84615384615384
RID_1173830165,0,27,3,0.037037037037037035,50.0,1.3846153846153846,20,71.38461538461539
RID_5007309728,2,24,2,0.024691358024691357,50.0,0.923076923076923,20,70.92307692307692
RID_6804925933,2,24,2,0.024691358024691357,50.0,0.923076923076923,20,70.92307692307692
RID_1624268280,0,27,1,0.012345679012345678,50.0,0.4615384615384615,20,70.46153846153845
RID_6392687507,2,24,1,0.012345679012345678,50.0,0.4615384615384615,20,70.46153846153845
RID_3286522992,0,27,1,0.012345679012345678,50.0,0.4615384615384615,20,70.46153846153845
RID_2173057228,2,24,1,0.012345679012345678,50.0,0.4615384615384615,20,70.46153846153845
RID_9907691219,2,24,1,0.012345679012345678,50.0,0.4615384615384615,20,70.46153846153845
